2016-09-04 17:17:09 sys_log : [ERROR]   error wait for 允许：允许android.widget.Button
2016-09-04 17:17:11 sys_log : [ERROR]   允许   clicked!!
2016-09-04 17:22:44 sys_log : [ERROR]   节点任务 -> [info = android.widget.RelativeLayout,,,com.alibaba.aliyun:id/filter_header,14], NoSuchElementException, 弹出下一个节点任务, a3925efbff389f3b3b5c5b2b9eeebfdd-0,219-1080,351-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]
2016-09-04 17:23:42 sys_log : [ERROR]   节点任务 -> [info = android.widget.ImageView,,,com.alibaba.aliyun:id/scan,15], NoSuchElementException, 弹出下一个节点任务, c46f85534e237b2727336cae9910cfaa-48,114-114,180-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ImageView[1]
2016-09-04 17:24:14 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,17], NoSuchElementException, 弹出下一个节点任务, a3925efbff389f3b3b5c5b2b9eeebfdd-24,351-1056,770-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[1]
2016-09-04 17:24:46 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,17], NoSuchElementException, 弹出下一个节点任务, a3925efbff389f3b3b5c5b2b9eeebfdd-24,769-1056,1189-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[2]
2016-09-04 17:25:18 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,17], NoSuchElementException, 弹出下一个节点任务, a3925efbff389f3b3b5c5b2b9eeebfdd-24,1188-1056,1608-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[3]
2016-09-04 17:45:47 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,22], NoSuchElementException, 弹出下一个节点任务, 26a636f78c625579ab51ebd035b9f931-0,352-1080,913-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.support.v4.view.ViewPager[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[1]
2016-09-04 17:46:19 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,22], NoSuchElementException, 弹出下一个节点任务, 26a636f78c625579ab51ebd035b9f931-0,913-1080,1576-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.support.v4.view.ViewPager[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[2]
2016-09-04 17:46:51 sys_log : [ERROR]   节点任务 -> [info = android.widget.ImageView,,,com.alibaba.aliyun:id/avator,25], NoSuchElementException, 弹出下一个节点任务, 26a636f78c625579ab51ebd035b9f931-48,973-108,1033-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.support.v4.view.ViewPager[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[2]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]/android.widget.ImageView[1]
2016-09-04 17:47:23 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,22], NoSuchElementException, 弹出下一个节点任务, 26a636f78c625579ab51ebd035b9f931-0,1576-1080,1770-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.support.v4.view.ViewPager[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[3]
2016-09-04 17:47:56 sys_log : [ERROR]   节点任务 -> [info = android.widget.ImageView,,,com.alibaba.aliyun:id/avator,25], NoSuchElementException, 弹出下一个节点任务, 26a636f78c625579ab51ebd035b9f931-48,1636-108,1696-//android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.RelativeLayout[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.support.v4.view.ViewPager[1]/android.widget.ViewFlipper[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[3]/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]/android.widget.ImageView[1]
