2016-09-19 14:59:26 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,400-1080,579-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[2]
2016-09-19 15:00:07 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,581-1080,760-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[3]
2016-09-19 15:00:48 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,762-1080,941-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[4]
2016-09-19 15:01:29 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,943-1080,1122-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[5]
2016-09-19 15:02:10 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,1124-1080,1303-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[6]
2016-09-19 15:02:51 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,1305-1080,1484-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[7]
2016-09-19 15:03:32 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,1486-1080,1665-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[8]
2016-09-19 15:04:13 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,1667-1080,1846-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[9]
2016-09-19 15:04:55 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,1848-1080,1920-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[10]
