2016-09-19 10:34:01 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,400-1080,579-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[2]
2016-09-19 10:34:42 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,581-1080,760-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[3]
2016-09-19 10:35:24 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,762-1080,941-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[4]
2016-09-19 10:36:05 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,943-1080,1122-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[5]
2016-09-19 10:36:46 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,1124-1080,1303-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[6]
2016-09-19 10:37:27 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,1305-1080,1484-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[7]
2016-09-19 10:38:08 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,1486-1080,1665-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[8]
2016-09-19 10:38:50 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,1667-1080,1846-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[9]
2016-09-19 10:39:31 sys_log : [ERROR]   节点任务 -> [info = android.widget.LinearLayout,,,,1], NoSuchElementException, 弹出下一个节点任务, a166ff947e4c0ef49e716cbd42450d37-0,1848-1080,1920-//android.widget.FrameLayout[1]/android.view.View[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout[1]/android.widget.ListView[1]/android.widget.LinearLayout[10]
